Date,Description,Amount,Category
2024-01-15,Office supplies purchase,150.00,Office Supplies
2024-01-16,Microsoft Office 365 subscription,299.99,Software
2024-01-17,Business travel - Flight to NYC,450.00,Travel
2024-01-18,Marketing campaign - Google Ads,750.00,Marketing
2024-01-19,Coffee shop meeting,25.50,Meals & Entertainment
2024-01-20,New laptop for developer,1299.99,Equipment
2024-01-21,Slack workspace subscription,89.99,Software
2024-01-22,Office rent payment,2500.00,Office Rent
2024-01-23,Internet service provider,120.00,Utilities
2024-01-24,Accounting software subscription,49.99,Software
2024-01-25,Team lunch for project completion,180.00,Meals & Entertainment
2024-01-26,AWS cloud services,342.75,Software
2024-01-27,Business insurance premium,450.00,Insurance
2024-01-28,Office cleaning service,75.00,Office Maintenance
2024-01-29,Adobe Creative Suite subscription,52.99,Software
2024-01-30,Taxi to client meeting,35.50,Travel
2024-01-31,Office supplies - printer paper,45.00,Office Supplies
2024-02-01,Zoom Pro subscription,149.99,Software
2024-02-02,Business phone service,89.99,Telecommunications
2024-02-03,Website hosting service,19.99,Software
2024-02-04,Training course for employees,599.99,Training
2024-02-05,Office furniture - ergonomic chairs,800.00,Equipment
2024-02-06,Legal consultation fees,350.00,Professional Services
2024-02-07,Social media advertising,280.00,Marketing
2024-02-08,Courier service,15.00,Shipping
2024-02-09,Domain name renewal,12.99,Software
2024-02-10,Business banking fees,25.00,Banking
2024-02-11,Networking event tickets,120.00,Professional Development
2024-02-12,Backup storage service,9.99,Software
2024-02-13,Office plants and maintenance,85.00,Office Maintenance
2024-02-14,Valentine's day client gifts,150.00,Client Relations
2024-02-15,Quarterly tax payment,1250.00,Taxes
2024-02-16,IT support service,200.00,Professional Services
2024-02-17,Office snacks and beverages,65.00,Office Supplies
2024-02-18,Business card printing,89.99,Marketing
2024-02-19,Software development tools,199.99,Software
2024-02-20,Client dinner meeting,185.00,Meals & Entertainment
2024-02-21,Parking fees downtown,25.00,Travel
2024-02-22,Freelancer payment - graphic design,500.00,Professional Services
2024-02-23,Security software subscription,99.99,Software
2024-02-24,Office utilities - electricity,180.00,Utilities
2024-02-25,Business conference registration,450.00,Professional Development
2024-02-26,CRM software subscription,79.99,Software
2024-02-27,Office supply cabinet,220.00,Equipment
2024-02-28,Monthly accounting services,300.00,Professional Services
2024-03-01,New employee laptop setup,899.99,Equipment
2024-03-02,Project management tool subscription,108.00,Software
2024-03-03,Business travel - hotel accommodation,320.00,Travel
2024-03-04,Industry magazine subscriptions,45.00,Professional Development
2024-03-05,Office renovation materials,750.00,Office Maintenance
2024-03-06,Email marketing platform,39.99,Marketing